Fetch Process:
0 - 3160
20000 - 790
40000 - 632
60000 - 1264
80000 - 948
100000 - 948
120000 - 790
140000 - 948
160000 - 948
180000 - 1027
200000 - 1264
220000 - 1106
240000 - 2054
260000 - 869
280000 - 1264
Insert Process:
0 - 263743
20000 - 222103
40000 - 247150
60000 - 391743
80000 - 204405
100000 - 719248
120000 - 780325
140000 - 319684
160000 - 161501
180000 - 375466
200000 - 440098
220000 - 393639
240000 - 239723
260000 - 221392
280000 - 191762
Delete Process:
0 - 184415
20000 - 140405
40000 - 155733
60000 - 117175
80000 - 84069
100000 - 87782
120000 - 73718
140000 - 123259
160000 - 122943
180000 - 109668
200000 - 182123
220000 - 42745
240000 - 24730
260000 - 16118
280000 - 7901
