Fetch Process:
0 - 13274
20000 - 2133806
40000 - 3365608
60000 - 4606418
80000 - 5850861
100000 - 7686475
120000 - 9421428
140000 - 10686099
160000 - 11913161
180000 - 9668894
200000 - 7742337
220000 - 6432392
240000 - 4525351
260000 - 3130310
280000 - 1436365
Insert Process:
0 - 6083
20000 - 1343
40000 - 790
60000 - 1343
80000 - 1027
100000 - 1106
120000 - 948
140000 - 1106
160000 - 1106
180000 - 1659
200000 - 2765
220000 - 869
240000 - 632
260000 - 553
280000 - 948
Delete Process:
0 - 3555
20000 - 2084266
40000 - 3460028
60000 - 4590694
80000 - 6428916
100000 - 8525507
120000 - 8876006
140000 - 10689655
160000 - 10517724
180000 - 9267433
200000 - 7963730
220000 - 6398654
240000 - 5233381
260000 - 3173213
280000 - 1095584
